rank_order,rank,name,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,record_type,member_level,nid,location,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,stats_female_male_ratio,stats_proportion_of_isr,aliases,subjects_offered,disabled
1260,126,Technical University of Denmark,64.6,1260,50.7,129,47.4,162,83.2,257,99.7,52,92.2,99,master_account,0,643,Denmark,"10,410",7.7,28%,32 : 68,40%,Technical University of Denmark,"Veterinary Science,Mechanical & Aerospace Engineering,Mathematics & Statistics,Electrical & Electronic Engineering,Chemical Engineering,Agriculture & Forestry,General Engineering,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Civil Engineering,Chemistry,Biological Sciences,Computer Science,Other Health",FALSE
1270,127,University of Oslo,64.3,1270,45.6,196,50.6,139,92.1,91,72.3,379,75.6,320,master_account,0,647,Norway,"20,967",12.5,15%,66:34:00,22%,University of Oslo,"Politics & International Studies (incl Development Studies),Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,Other Health,Art, Performing Arts & Design,Biological Sciences,Geography,Education,Computer Science,Communication & Media Studies,Archaeology,Chemistry,History, Philosophy & Theology,Languages, Literature & Linguistics,Sociology,Psychology,Economics & Econometrics,Medicine & Dentistry,Physics & Astronomy,Law",FALSE
1280,128,University of Freiburg,64.1,1280,46.7,176,51.3,132,86.2,188,100,9,74.2,347,master_account,0,653,Germany,"19,417",34.4,17%,53:47:00,22%,University of Freiburg,"Archaeology,Sport Science,Law,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),General Engineering,Biological Sciences,Accounting & Finance,Computer Science,Physics & Astronomy,Business & Management,Languages, Literature & Linguistics,Chemical Engineering,Sociology,Other Health,Civil Engineering,Communication & Media Studies,Agriculture & Forestry,Psychology,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Medicine & Dentistry,Chemistry,Geography,History, Philosophy & Theology,Mathematics & Statistics,Education",FALSE
1290,129,University of Leeds,63.9,1290,46.1,186,49.1,150,87.3,167,68.8,458,94.6,57,master_account,0,597,United Kingdom,"33,450",14.4,32%,59:41:00,30%,University of Leeds,"Geography,Physics & Astronomy,Chemical Engineering,Medicine & Dentistry,Economics & Econometrics,Psychology,Other Health,Law,Business & Management,Mechanical & Aerospace Engineering,General Engineering,Mathematics & Statistics,Biological Sciences,Electrical & Electronic Engineering,Chemistry,Agriculture & Forestry,Geology, Environmental, Earth & Marine Sciences,Civil Engineering,Sociology,Architecture,History, Philosophy & Theology,Computer Science,Sport Science,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Accounting & Finance,Education,Communication & Media Studies,Languages, Literature & Linguistics",FALSE
1300,130,University of Nottingham,63.8,1300,45.6,195,45.9,180,90.6,115,71.2,402,92.8,87,master_account,0,604,United Kingdom,"33,520",16,27%,54:46:00,27%,University of Nottingham,"History, Philosophy & Theology,Civil Engineering,Politics & International Studies (incl Development Studies),Computer Science,Communication & Media Studies,General Engineering,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Other Health,Mechanical & Aerospace Engineering,Mathematics & Statistics,Psychology,Biological Sciences,Law,Accounting & Finance,Archaeology,Chemical Engineering,Chemistry,Art, Performing Arts & Design,Agriculture & Forestry,Physics & Astronomy,Architecture,Sport Science,Geography,Medicine & Dentistry,Veterinary Science,Sociology,Business & Management,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Education",FALSE
1310,130,Tohoku University,63.8,1310,67.8,48,66.4,61,53.8,926,99.9,37,58.5,614,master_account,0,584,Japan,"17,409",11.8,12%,28 : 72,32%,Tohoku University,"Architecture,Agriculture & Forestry,Chemistry,Business & Management,Electrical & Electronic Engineering,Communication & Media Studies,Economics & Econometrics,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Physics & Astronomy,Archaeology,Biological Sciences,Geography,General Engineering,Sociology,Accounting & Finance,Languages, Literature & Linguistics,Chemical Engineering,Mathematics & Statistics,Psychology,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Other Health,Veterinary Science,Education,Computer Science,Sport Science,Law",FALSE
1320,132,University of Florida,63.7,1320,55.5,93,56.7,103,78.3,357,88.9,174,50.9,776,public,0,590,United States,"48,114",16.7,9%,56:44:00,22%,University of Florida,"Mechanical & Aerospace Engineering,Communication & Media Studies,Economics & Econometrics,Medicine & Dentistry,Veterinary Science,Sociology,Other Health,Biological Sciences,Psychology,Computer Science,Mathematics & Statistics,Education,Languages, Literature & Linguistics,General Engineering,Chemistry,Electrical & Electronic Engineering,Physics & Astronomy,Law,Art, Performing Arts & Design,Chemical Engineering,Geography,Architecture,Agriculture & Forestry,Business & Management,History, Philosophy & Theology,Sport Science,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Civil Engineering,Politics & International Studies (incl Development Studies)",FALSE
1330,133,University of Rochester,63.6,1330,50.8,128,42.9,211,88.3,150,89,173,81.7,230,private,0,545,United States,"9,855",7.3,34%,50:50:00,24%,University of Rochester,"Mechanical & Aerospace Engineering,Biological Sciences,Education,Medicine & Dentistry,History, Philosophy & Theology,General Engineering,Geology, Environmental, Earth & Marine Sciences,Chemistry,Communication & Media Studies,Mathematics & Statistics,Chemical Engineering,Sociology,Psychology,Accounting & Finance,Electrical & Electronic Engineering,Business & Management,Languages, Literature & Linguistics,Other Health,Art, Performing Arts & Design,Archaeology,Politics & International Studies (incl Development Studies),Computer Science,Physics & Astronomy,Economics & Econometrics",FALSE
1340,134,Trinity College Dublin,63.2,1340,44,220,48.4,154,87.6,160,76.6,309,91.4,111,master_account,11,582,Ireland,"18,778",22.2,34%,61:39:00,24%,Trinity College Dublin,"Mechanical & Aerospace Engineering,Art, Performing Arts & Design,Civil Engineering,Psychology,General Engineering,Geology, Environmental, Earth & Marine Sciences,Computer Science,Sociology,Biological Sciences,Geography,History, Philosophy & Theology,Physics & Astronomy,Accounting & Finance,Electrical & Electronic Engineering,Law,Medicine & Dentistry,Chemistry,Education,Other Health,Politics & International Studies (incl Development Studies),Economics & Econometrics,Languages, Literature & Linguistics,Mathematics & Statistics,Business & Management",FALSE
1350,135,Queen Mary University of London,63.1,1350,37.6,376,42.6,216,97.9,14,73.9,350,98.1,7,master_account,0,131678,United Kingdom,"22,205",14.6,45%,54:46:00,23%,Queen Mary University of London,"Medicine & Dentistry,Biological Sciences,Chemistry,Communication & Media Studies,Electrical & Electronic Engineering,Business & Management,Mechanical & Aerospace Engineering,Languages, Literature & Linguistics,Psychology,Civil Engineering,General Engineering,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Art, Performing Arts & Design,History, Philosophy & Theology,Law,Computer Science,Mathematics & Statistics,Chemical Engineering,Geography,Politics & International Studies (incl Development Studies),Other Health,Veterinary Science,Accounting & Finance,Physics & Astronomy",FALSE
1360,136,University of Hamburg,63,1360,44.7,208,53.3,122,84.8,216,98.6,78,65.7,471,master_account,0,701,Germany,"29,240",58.5,13%,58:42:00,22%,University of Hamburg,"Accounting & Finance,Geography,Business & Management,Agriculture & Forestry,Sport Science,Geology, Environmental, Earth & Marine Sciences,Law,History, Philosophy & Theology,Mathematics & Statistics,Computer Science,Politics & International Studies (incl Development Studies),Communication & Media Studies,Physics & Astronomy,Medicine & Dentistry,Chemistry,Archaeology,Languages, Literature & Linguistics,Economics & Econometrics,Other Health,Education,Psychology,Sociology,Biological Sciences",FALSE
1370,136,Technical University of Berlin,63,1370,47.8,162,55.6,108,78.1,364,99.9,36,71.3,389,master_account,0,1022,Germany,"20,425",49.6,29%,35 : 65,48%,Technical University of Berlin,"General Engineering,Languages, Literature & Linguistics,Physics & Astronomy,Architecture,Education,Chemical Engineering,Electrical & Electronic Engineering,Chemistry,Civil Engineering,Mathematics & Statistics,Sociology,Mechanical & Aerospace Engineering,History, Philosophy & Theology,Accounting & Finance,Computer Science",FALSE
1380,138,University of Colorado Boulder,62.9,1380,46.5,181,51.9,127,88.6,145,82.8,231,56.6,651,public,0,541,United States,"35,844",16.5,8%,45:55:00,45%,University of Colorado Boulder,"Business & Management,Art, Performing Arts & Design,General Engineering,Mathematics & Statistics,Law,Sociology,Computer Science,Chemistry,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Economics & Econometrics,Physics & Astronomy,Architecture,Communication & Media Studies,Electrical & Electronic Engineering,Psychology,Education,Biological Sciences,Civil Engineering,History, Philosophy & Theology,Chemical Engineering,Languages, Literature & Linguistics,Geography",FALSE
1390,138,Maastricht University,62.9,1390,41.4,270,47.1,166,86.1,190,98.1,88,97.4,18,master_account,6,663,Netherlands,"21,337",19.6,57%,60:40:00,10%,Maastricht University,"Education,Biological Sciences,Computer Science,Chemical Engineering,Medicine & Dentistry,Communication & Media Studies,Law,Languages, Literature & Linguistics,Economics & Econometrics,Other Health,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Sociology,Business & Management,Sport Science,Psychology,Accounting & Finance,Chemistry,Mathematics & Statistics,General Engineering,History, Philosophy & Theology",FALSE
1400,140,Karlsruhe Institute of Technology,62.8,1400,49.9,137,56.8,102,72.5,499,99.9,32,77.6,287,master_account,0,660,Germany,"21,448",20.5,25%,29 : 71,50%,Karlsruhe Institute of Technology,"Civil Engineering,Chemistry,Electrical & Electronic Engineering,Geography,History, Philosophy & Theology,Agriculture & Forestry,Accounting & Finance,Architecture,Biological Sciences,Mathematics & Statistics,Business & Management,General Engineering,Education,Art, Performing Arts & Design,Sport Science,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Computer Science,Physics & Astronomy,Mechanical & Aerospace Engineering,Communication & Media Studies",FALSE
1410,140,Radboud University Nijmegen,62.8,1410,39.1,334,51,136,91.3,103,81.4,246,77.7,285,master_account,11,624,Netherlands,"23,004",18.2,12%,57:43:00,15%,Radboud University Nijmegen,"Geography,Art, Performing Arts & Design,Economics & Econometrics,Politics & International Studies (incl Development Studies),Mathematics & Statistics,Law,Education,Chemistry,Communication & Media Studies,Medicine & Dentistry,Psychology,Business & Management,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Computer Science,Other Health,Biological Sciences,Physics & Astronomy,History, Philosophy & Theology,Sociology,Accounting & Finance",FALSE
1420,140,Uppsala University,62.8,1420,43.9,222,55,111,81.3,296,97.7,92,74.7,337,master_account,0,551,Sweden,"24,749",13.3,17%,60:40:00,25%,Uppsala University,"Languages, Literature & Linguistics,Biological Sciences,Communication & Media Studies,General Engineering,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Chemistry,Economics & Econometrics,Medicine & Dentistry,Civil Engineering,Education,Chemical Engineering,Law,Accounting & Finance,Computer Science,Geography,Business & Management,Mathematics & Statistics,Psychology,Electrical & Electronic Engineering,Sociology,Archaeology,Geology, Environmental, Earth & Marine Sciences,Other Health,Physics & Astronomy",FALSE
1430,143,University of Lausanne,62.7,1430,41.7,267,46.3,175,87.3,166,99.5,59,90.4,126,master_account,0,580,Switzerland,"14,478",10.5,23%,,14%,University of Lausanne,"Geography,Biological Sciences,Communication & Media Studies,Sociology,Languages, Literature & Linguistics,Psychology,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Archaeology,Law,Economics & Econometrics,Other Health,Business & Management,Education,Medicine & Dentistry,Politics & International Studies (incl Development Studies),Sport Science,Computer Science",FALSE
1440,143,The University of Western Australia,62.7,1440,37.7,368,48.6,152,88.7,144,97.2,94,93.5,74,master_account,6,654,Australia,"19,382",22.4,26%,50:50:00,23%,The University of Western Australia,"Physics & Astronomy,Electrical & Electronic Engineering,Civil Engineering,Politics & International Studies (incl Development Studies),Economics & Econometrics,Psychology,Biological Sciences,Sociology,Archaeology,Architecture,Sport Science,Chemical Engineering,History, Philosophy & Theology,Languages, Literature & Linguistics,Geography,Medicine & Dentistry,Chemistry,Mathematics & Statistics,Art, Performing Arts & Design,Business & Management,Law,Accounting & Finance,General Engineering,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering,Other Health,Computer Science,Communication & Media Studies,Agriculture & Forestry,Education",FALSE
1450,145,University of Pittsburgh-Pittsburgh campus,62.5,1450,49.1,141,46.1,178,92.4,87,76.1,316,50.9,778,public,0,524,United States,"26,305",5.4,10%,56:44:00,14%,University of Pittsburgh-Pittsburgh campus,"Electrical & Electronic Engineering,Geography,Architecture,Chemistry,Economics & Econometrics,Psychology,Mechanical & Aerospace Engineering,History, Philosophy & Theology,Mathematics & Statistics,Education,Computer Science,Communication & Media Studies,Business & Management,Geology, Environmental, Earth & Marine Sciences,Other Health,Law,General Engineering,Medicine & Dentistry,Chemical Engineering,Art, Performing Arts & Design,Civil Engineering,Sociology,Biological Sciences,Languages, Literature & Linguistics,Physics & Astronomy,Accounting & Finance,Politics & International Studies (incl Development Studies),Sport Science",FALSE
1460,145,Sungkyunkwan University (SKKU),62.5,1460,55.5,94,54.2,114,72.9,486,98.8,73,61.3,555,master_account,0,805,South Korea,"23,402",19.4,19%,,22%,Sungkyunkwan University (SKKU),"Architecture,Chemical Engineering,Education,Other Health,Communication & Media Studies,Accounting & Finance,Languages, Literature & Linguistics,Biological Sciences,Psychology,Art, Performing Arts & Design,Medicine & Dentistry,Sport Science,Business & Management,General Engineering,Chemistry,History, Philosophy & Theology,Law,Civil Engineering,Sociology,Computer Science,Physics & Astronomy,Economics & Econometrics,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Mathematics & Statistics",FALSE
1470,147,University of York,62.4,1470,42.4,256,44.8,191,90.8,112,66.9,507,93.1,83,master_account,0,586,United Kingdom,"19,505",16.1,31%,56:44:00,28%,University of York,"Chemistry,Archaeology,Geography,Economics & Econometrics,Computer Science,Electrical & Electronic Engineering,General Engineering,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering,Physics & Astronomy,Business & Management,Law,Accounting & Finance,Education,Mathematics & Statistics,History, Philosophy & Theology,Medicine & Dentistry,Psychology,Communication & Media Studies,Sociology,Art, Performing Arts & Design,Biological Sciences,Politics & International Studies (incl Development Studies),Other Health",FALSE
1480,148,University of Technology Sydney,62.3,1480,36.2,421,43.3,207,95.9,39,78.9,278,94.3,60,master_account,0,906,Australia,"28,223",37.4,25%,50:50:00,33%,University of Technology Sydney UTS,"General Engineering,Chemistry,Computer Science,Sport Science,Psychology,Other Health,Agriculture & Forestry,Accounting & Finance,Medicine & Dentistry,Physics & Astronomy,Law,Architecture,Mathematics & Statistics,Education,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Chemical Engineering,Communication & Media Studies,Business & Management,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Sociology,History, Philosophy & Theology,Biological Sciences,Geography,Economics & Econometrics",FALSE
1490,149,Pohang University of Science and Technology (POSTECH),62.2,1490,58.1,85,51.5,130,77.2,392,100,21,40,1118,master_account,0,517,South Korea,"3,300",10.5,5%,,42%,Pohang University of Science and Technology (POSTECH) postech,"Physics & Astronomy,General Engineering,Biological Sciences,Agriculture & Forestry,Mechanical & Aerospace Engineering,Other Health,Chemical Engineering,Electrical & Electronic Engineering,Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences,Chemistry,Mathematics & Statistics,Computer Science,Communication & Media Studies,Art, Performing Arts & Design",FALSE
1500,150,University of Auckland,62,1500,39.7,316,45.7,182,88.3,148,95.8,109,89.9,130,master_account,0,637,New Zealand,"35,663",24.4,31%,57:43:00,24%,University of Auckland UOA Auckland University,"Psychology,Civil Engineering,Mathematics & Statistics,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Communication & Media Studies,Mechanical & Aerospace Engineering,History, Philosophy & Theology,Chemical Engineering,Economics & Econometrics,Law,Medicine & Dentistry,Biological Sciences,Archaeology,Sociology,Languages, Literature & Linguistics,Architecture,Geography,Sport Science,Physics & Astronomy,Accounting & Finance,General Engineering,Other Health,Art, Performing Arts & Design,Education,Business & Management,Chemistry,Computer Science,Geology, Environmental, Earth & Marine Sciences",FALSE
1510,150,Sichuan University,62,1510,59.1,81,57.3,99,69.3,574,93.2,135,46.1,929,master_account,0,1003,China,"49,117",15.9,5%,,28%,Sichuan University,"Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Business & Management,Computer Science,Education,Chemical Engineering,Sociology,Art, Performing Arts & Design,General Engineering,Economics & Econometrics,History, Philosophy & Theology,Mathematics & Statistics,Communication & Media Studies,Accounting & Finance,Other Health,Physics & Astronomy,Architecture,Biological Sciences,Politics & International Studies (incl Development Studies),Archaeology,Civil Engineering,Law,Medicine & Dentistry,Chemistry",FALSE
1520,152,University of Barcelona,61.9,1520,42.4,254,47.3,163,91.4,100,83.9,218,65.2,482,master_account,1,667,Spain,"44,365",15.3,11%,64:36:00,17%,University of Barcelona,"Physics & Astronomy,Business & Management,Languages, Literature & Linguistics,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,Law,Agriculture & Forestry,Computer Science,Communication & Media Studies,Art, Performing Arts & Design,Chemical Engineering,Archaeology,Economics & Econometrics,Sociology,Education,Geography,History, Philosophy & Theology,Psychology,Medicine & Dentistry,Other Health,Accounting & Finance,Sport Science,Biological Sciences,General Engineering,Politics & International Studies (incl Development Studies),Chemistry,Electrical & Electronic Engineering",FALSE
1530,152,National Taiwan University (NTU),61.9,1530,57.3,88,54.8,113,70.8,545,99.9,33,51.2,768,master_account,0,618,Taiwan,"24,744",11.1,13%,41:59:00,31%,National Taiwan University (NTU),"Architecture,Mechanical & Aerospace Engineering,Chemistry,Archaeology,Chemical Engineering,Communication & Media Studies,Computer Science,Physics & Astronomy,Accounting & Finance,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Other Health,Agriculture & Forestry,Sociology,Art, Performing Arts & Design,Mathematics & Statistics,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Veterinary Science,Business & Management,General Engineering,Sport Science,Geography,Medicine & Dentistry,Civil Engineering,Law,Biological Sciences,Psychology",FALSE
1540,152,Université Paris Cité,61.9,1540,47.9,161,42.7,214,90.6,116,68.3,472,73.2,362,master_account,6,670575,France,"61,690",16.9,18%,66:34:00,21%,Université Paris Cité france international student life,"Medicine & Dentistry,Chemical Engineering,Chemistry,Sociology,Economics & Econometrics,Accounting & Finance,History, Philosophy & Theology,Communication & Media Studies,Archaeology,Geography,Electrical & Electronic Engineering,Languages, Literature & Linguistics,General Engineering,Psychology,Law,Geology, Environmental, Earth & Marine Sciences,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,Biological Sciences,Physics & Astronomy,Business & Management,Education,Civil Engineering,Art, Performing Arts & Design,Computer Science,Sport Science,Mathematics & Statistics,Other Health",FALSE
1550,155,University of Arizona,61.8,1550,48.7,147,51.3,131,85.7,193,84,217,47,891,public,0,561,United States,"45,517",19.9,7%,56:44:00,25%,University of Arizona,"Languages, Literature & Linguistics,Chemistry,Law,Business & Management,Economics & Econometrics,History, Philosophy & Theology,Sociology,Veterinary Science,Psychology,Other Health,Politics & International Studies (incl Development Studies),Geology, Environmental, Earth & Marine Sciences,Chemical Engineering,Archaeology,Accounting & Finance,Biological Sciences,Mathematics & Statistics,General Engineering,Agriculture & Forestry,Geography,Physics & Astronomy,Computer Science,Architecture,Sport Science,Electrical & Electronic Engineering,Education,Communication & Media Studies,Mechanical & Aerospace Engineering,Medicine & Dentistry,Art, Performing Arts & Design,Civil Engineering",FALSE
1560,155,University of Bologna,61.8,1560,53,112,44.6,193,86.5,182,79.4,272,54.3,687,master_account,11,692,Italy,"74,105",24.7,11%,57:43:00,27%,University of Bologna,"History, Philosophy & Theology,Agriculture & Forestry,Education,Other Health,Sport Science,Sociology,Languages, Literature & Linguistics,General Engineering,Veterinary Science,Geography,Architecture,Chemical Engineering,Law,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Communication & Media Studies,Civil Engineering,Chemistry,Business & Management,Medicine & Dentistry,Biological Sciences,Politics & International Studies (incl Development Studies),Computer Science,Physics & Astronomy,Economics & Econometrics,Archaeology,Mathematics & Statistics,Psychology,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance",FALSE
1570,155,Lancaster University,61.8,1570,40.2,304,40.7,240,93.9,59,66.6,514,96.8,24,master_account,0,595,United Kingdom,"15,385",13.9,38%,51:49:00,34%,Lancaster University,"Chemistry,Electrical & Electronic Engineering,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Business & Management,Physics & Astronomy,Psychology,Economics & Econometrics,Politics & International Studies (incl Development Studies),Other Health,Architecture,Communication & Media Studies,Sociology,General Engineering,Sport Science,Chemical Engineering,Accounting & Finance,Art, Performing Arts & Design,Languages, Literature & Linguistics,Law,Geology, Environmental, Earth & Marine Sciences,Computer Science,Biological Sciences,Mathematics & Statistics,Geography,Medicine & Dentistry,Education",FALSE
1580,158,Huazhong University of Science and Technology,61.7,1580,48.8,145,48.1,156,90,127,96.9,96,32.9,1391,master_account,11,956,China,"57,663",15.5,4%,,31%,Huazhong University of Science and Technology Hua Zhong University HUST Tech,"Architecture,Electrical & Electronic Engineering,Sociology,Communication & Media Studies,Mathematics & Statistics,Physics & Astronomy,History, Philosophy & Theology,Agriculture & Forestry,General Engineering,Business & Management,Computer Science,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Law,Economics & Econometrics,Chemistry,Mechanical & Aerospace Engineering,Languages, Literature & Linguistics,Civil Engineering,Biological Sciences,Education,Chemical Engineering,Other Health",FALSE
1590,158,University of Waterloo,61.7,1590,42.2,260,49.3,148,83.7,243,78.3,286,89.3,134,master_account,0,689,Canada,"36,904",24.2,23%,47:53:00,39%,University of Waterloo,"Computer Science,Chemistry,General Engineering,Geology, Environmental, Earth & Marine Sciences,Other Health,Physics & Astronomy,Economics & Econometrics,Civil Engineering,Sociology,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Sport Science,Accounting & Finance,Art, Performing Arts & Design,Chemical Engineering,Geography,Architecture,Electrical & Electronic Engineering,Mathematics & Statistics,Communication & Media Studies,Business & Management,Languages, Literature & Linguistics,Biological Sciences,Psychology",FALSE
1600,160,University of Cologne,61.5,1600,42.9,240,47.1,165,85.6,197,98.8,70,73.3,359,master_account,0,961,Germany,"31,299",28.7,17%,,20%,University of Cologne,"Languages, Literature & Linguistics,Sociology,Physics & Astronomy,Education,Chemistry,Economics & Econometrics,Medicine & Dentistry,Law,Accounting & Finance,Archaeology,Geography,Other Health,Communication & Media Studies,Mathematics & Statistics,Business & Management,Computer Science,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Biological Sciences,Psychology",FALSE
1610,161,University of Antwerp,61.4,1610,38.2,357,44.4,195,92.5,84,98.4,81,74.7,335,master_account,0,742,Belgium,"16,168",31.8,17%,56:44:00,24%,University of Antwerp,"Sociology,General Engineering,Education,Biological Sciences,Law,Languages, Literature & Linguistics,Business & Management,Chemical Engineering,Physics & Astronomy,History, Philosophy & Theology,Economics & Econometrics,Veterinary Science,Chemistry,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Communication & Media Studies,Computer Science,Other Health,Geology, Environmental, Earth & Marine Sciences,Architecture,Mechanical & Aerospace Engineering,Medicine & Dentistry,Mathematics & Statistics,Art, Performing Arts & Design",FALSE
1620,161,Dartmouth College,61.4,1620,57.3,87,40.7,239,84.7,218,68.4,468,60.2,581,private,0,554,United States,"6,226",7.4,16%,49:51:00,20%,Dartmouth College,"General Engineering,Geography,History, Philosophy & Theology,Mathematics & Statistics,Business & Management,Art, Performing Arts & Design,Chemical Engineering,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Agriculture & Forestry,Sociology,Mechanical & Aerospace Engineering,Communication & Media Studies,Medicine & Dentistry,Civil Engineering,Psychology,Computer Science,Geology, Environmental, Earth & Marine Sciences,Other Health,Chemistry,Economics & Econometrics,Archaeology,Biological Sciences,Electrical & Electronic Engineering,Physics & Astronomy",FALSE
1630,161,TU Dresden,61.4,1630,46.6,180,51.1,135,79.3,338,99.7,53,67.9,434,master_account,0,720,Germany,"29,719",29.4,17%,45:55:00,35%,TU Dresden,"Accounting & Finance,Mechanical & Aerospace Engineering,Education,Communication & Media Studies,Languages, Literature & Linguistics,Other Health,Electrical & Electronic Engineering,Geography,Sociology,Civil Engineering,Biological Sciences,Business & Management,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Medicine & Dentistry,Computer Science,Psychology,Architecture,Chemistry,Economics & Econometrics,Mathematics & Statistics,General Engineering,Agriculture & Forestry,History, Philosophy & Theology,Politics & International Studies (incl Development Studies)",FALSE
1640,164,Case Western Reserve University,61.3,1640,51.7,121,40.2,246,88.7,142,71.4,398,65,485,private,0,557,United States,"10,294",8.8,25%,51:49:00,13%,Case Western Reserve University,"General Engineering,Physics & Astronomy,Business & Management,Mechanical & Aerospace Engineering,Chemistry,Economics & Econometrics,Other Health,Politics & International Studies (incl Development Studies),Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Chemical Engineering,Psychology,Civil Engineering,Mathematics & Statistics,Accounting & Finance,Languages, Literature & Linguistics,Biological Sciences,Electrical & Electronic Engineering,Education,Architecture,Law,Art, Performing Arts & Design,Computer Science,Sociology",FALSE
1650,164,Wuhan University,61.3,1650,50.9,126,45,189,88.5,146,90.6,160,41,1084,master_account,0,863,China,"56,066",15,5%,,40%,Wuhan University,"Computer Science,Chemistry,Business & Management,Languages, Literature & Linguistics,Agriculture & Forestry,Geography,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Sociology,General Engineering,Biological Sciences,Communication & Media Studies,History, Philosophy & Theology,Civil Engineering,Law,Archaeology,Veterinary Science,Psychology,Architecture,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Education,Chemical Engineering,Politics & International Studies (incl Development Studies),Medicine & Dentistry,Physics & Astronomy,Economics & Econometrics,Other Health,Mathematics & Statistics,Accounting & Finance",FALSE
1660,166,University of Virginia (Main campus),61.1,1660,51.1,125,40.1,248,88.9,140,79.9,265,60.8,571,public,0,601,United States,"25,953",8.9,11%,54:46:00,22%,University of Virginia (Main campus),"Computer Science,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Sociology,General Engineering,Sport Science,Education,Other Health,Chemistry,History, Philosophy & Theology,Biological Sciences,Geography,Electrical & Electronic Engineering,Communication & Media Studies,Accounting & Finance,Medicine & Dentistry,Physics & Astronomy,Psychology,Architecture,Mathematics & Statistics,Business & Management,Languages, Literature & Linguistics,Chemical Engineering,Law,Archaeology,Civil Engineering,Politics & International Studies (incl Development Studies)",FALSE
